X,Y,class
-0.177,0.93,1.0
1.98,1.77,0.0
1.8,1.7,0.0
-0.7709999999999999,2.36,1.0
-0.308,1.59,1.0
0.615,2.43,1.0
1.09,2.22,0.0
-0.835,2.36,1.0
2.48,1.33,0.0
1.2,1.83,1.0
2.19,0.823,0.0
1.68,1.04,0.0
1.15,2.07,0.0
1.36,0.568,0.0
1.39,1.83,0.0
1.87,1.19,0.0
0.312,2.25,1.0
-0.0818,1.7,1.0
0.905,2.61,1.0
-0.436,2.02,1.0
0.8140000000000001,2.14,1.0
3.11,2.27,0.0
-0.256,1.71,1.0
1.89,2.72,0.0
2.3,3.89,0.0
-0.114,0.856,1.0
1.7,3.48,0.0
1.84,0.927,0.0
1.6,1.3,0.0
1.14,2.83,1.0
0.57,1.82,1.0
0.251,1.32,1.0
-0.39799999999999996,1.98,1.0
1.63,0.882,0.0
3.11,1.74,0.0
-0.0056700000000000006,1.12,1.0
1.37,2.14,0.0
2.7,3.55,0.0
2.0,1.1,0.0
2.44,1.44,0.0
-0.31,0.9129999999999999,1.0
0.0853,1.72,1.0
2.06,1.6,0.0
1.61,2.07,0.0
1.4,0.693,1.0
1.68,1.05,0.0
0.603,2.19,1.0
-0.8009999999999999,1.9,1.0
2.29,2.0,0.0
-1.08,2.78,1.0
0.6729999999999999,1.08,1.0
2.97,2.12,0.0
0.68,2.1,1.0
-0.44799999999999995,3.18,1.0
-0.5,2.02,1.0
1.85,3.67,0.0
1.72,1.78,0.0
2.25,3.12,0.0
0.314,1.35,1.0
-0.284,1.86,1.0
2.13,2.58,0.0
1.58,2.02,0.0
-1.08,1.4,1.0
1.2,2.4,0.0
1.38,1.15,0.0
-1.66,1.46,1.0
1.24,1.46,0.0
1.88,1.72,0.0
2.91,2.94,0.0
-0.48100000000000004,1.79,1.0
2.44,1.35,0.0
2.57,0.993,0.0
2.45,2.49,0.0
0.46,0.684,1.0
-0.391,2.13,1.0
-1.27,1.16,1.0
1.42,2.57,0.0
-0.568,0.99,1.0
-1.8,1.23,1.0
0.18,1.26,1.0
2.85,1.85,0.0
1.85,1.15,0.0
2.23,3.15,0.0
-0.55,1.08,1.0
-0.7909999999999999,1.65,1.0
-0.132,1.94,1.0
0.703,1.36,0.0
0.27699999999999997,2.67,1.0
0.61,2.17,1.0
-0.53,2.02,1.0
1.84,2.11,0.0
0.284,2.64,1.0
1.9,2.26,0.0
2.07,2.61,0.0
-1.72,1.28,1.0
2.63,1.27,0.0
-0.0403,1.78,1.0
-0.787,1.4,1.0
2.7,1.59,0.0
1.29,2.75,1.0
