X,Y,class
0.0316,0.987,0.0
2.12,-0.0462,1.0
0.882,-0.0758,0.0
-0.0551,-0.0373,1.0
0.83,-0.539,1.0
2.11,0.662,1.0
0.57,0.337,0.0
0.9520000000000001,-0.753,1.0
-0.0292,0.39299999999999996,1.0
1.72,0.361,1.0
-0.27899999999999997,0.614,1.0
2.0,-0.309,1.0
1.5,-0.746,1.0
1.23,1.2,0.0
0.467,0.547,0.0
-0.36700000000000005,1.12,0.0
0.301,1.23,0.0
0.304,0.8240000000000001,0.0
-0.237,0.779,0.0
1.16,0.5529999999999999,0.0
-0.597,0.657,0.0
0.46399999999999997,-0.195,1.0
0.685,0.753,0.0
0.705,-0.45899999999999996,1.0
-0.6579999999999999,-0.129,0.0
-0.747,-0.38299999999999995,0.0
0.606,0.313,0.0
2.18,-0.0229,1.0
1.92,0.172,1.0
1.48,-0.105,1.0
0.474,-0.146,1.0
1.06,-1.04,1.0
1.87,-0.0111,1.0
0.419,-0.325,1.0
0.0687,0.5660000000000001,1.0
-0.17300000000000001,1.0,0.0
0.124,1.0,0.0
0.18100000000000002,0.247,1.0
-0.255,0.193,1.0
1.03,-0.626,1.0
1.52,-0.0452,0.0
0.642,-0.39399999999999996,1.0
-0.8759999999999999,0.0466,0.0
-1.07,0.13699999999999998,0.0
1.03,0.37799999999999995,0.0
0.9309999999999999,1.39,0.0
0.677,1.57,0.0
-0.369,0.7290000000000001,0.0
-1.02,0.162,0.0
0.775,0.154,0.0
1.4,-0.0070599999999999994,1.0
-0.381,-0.235,1.0
0.722,0.447,0.0
-0.513,0.679,0.0
0.321,0.287,0.0
0.195,0.161,1.0
0.528,0.983,0.0
-0.222,0.252,0.0
0.223,1.32,0.0
-0.107,0.562,1.0
0.637,0.754,0.0
-0.37200000000000005,0.993,0.0
0.207,-0.0977,1.0
0.127,-0.38,1.0
0.7140000000000001,-0.8,1.0
1.09,-0.368,1.0
-0.14800000000000002,0.9620000000000001,0.0
1.59,-0.63,1.0
0.7440000000000001,0.5770000000000001,0.0
2.18,-0.7,1.0
0.24600000000000002,0.85,0.0
-0.95,0.904,0.0
-0.882,0.0725,0.0
2.02,0.12300000000000001,1.0
2.15,0.46299999999999997,1.0
0.355,-0.6779999999999999,1.0
0.34700000000000003,1.12,0.0
1.74,0.45899999999999996,1.0
0.639,-0.447,1.0
1.29,-0.491,1.0
-0.138,1.25,0.0
-0.562,1.05,0.0
1.29,-0.207,1.0
-0.875,0.505,0.0
-0.929,-0.456,0.0
0.0249,0.107,1.0
0.19699999999999998,-0.068,1.0
0.733,0.282,0.0
1.68,-0.20199999999999999,1.0
0.508,-0.11699999999999999,1.0
1.67,-0.425,1.0
-0.8220000000000001,0.631,0.0
0.302,0.7859999999999999,0.0
1.38,-0.809,1.0
1.17,0.598,0.0
1.7,0.588,1.0
0.21899999999999997,-0.653,1.0
0.953,-0.42,1.0
-1.32,0.423,0.0
-1.3,0.184,0.0
