X,Y,class
1.76,0.4,-1.0
0.9790000000000001,2.24,-1.0
1.87,-0.977,1.0
0.95,-0.151,1.0
-0.10300000000000001,0.41100000000000003,1.0
0.14400000000000002,1.45,-1.0
0.7609999999999999,0.122,-1.0
0.444,0.33399999999999996,-1.0
1.49,-0.205,1.0
0.313,-0.8540000000000001,1.0
-2.55,0.654,1.0
0.8640000000000001,-0.742,1.0
2.27,-1.45,1.0
0.0458,-0.187,1.0
1.53,1.47,-1.0
0.155,0.37799999999999995,-1.0
-0.888,-1.98,-1.0
-0.348,0.156,1.0
1.23,1.2,-1.0
-0.387,-0.302,-1.0
-1.05,-1.42,-1.0
-1.71,1.95,1.0
-0.51,-0.43799999999999994,-1.0
-1.25,0.777,1.0
-1.61,-0.213,-1.0
-0.895,0.387,1.0
-0.511,-1.18,-1.0
-0.0282,0.428,1.0
0.0665,0.302,-1.0
-0.634,-0.363,-1.0
-0.672,-0.36,-1.0
-0.813,-1.73,-1.0
0.177,-0.402,1.0
-1.63,0.46299999999999997,1.0
-0.907,0.0519,1.0
0.7290000000000001,0.129,-1.0
1.14,-1.23,1.0
0.402,-0.685,1.0
-0.871,-0.579,-1.0
-0.312,0.0562,1.0
-1.17,0.9009999999999999,1.0
0.466,-1.54,1.0
1.49,1.9,-1.0
1.18,-0.18,1.0
-1.07,1.05,1.0
-0.40299999999999997,1.22,1.0
0.20800000000000002,0.977,-1.0
0.35600000000000004,0.7070000000000001,-1.0
0.0105,1.79,-1.0
0.127,0.402,-1.0
1.88,-1.35,1.0
-1.27,0.9690000000000001,1.0
-1.17,1.94,1.0
-0.414,-0.747,-1.0
1.92,1.48,-1.0
1.87,0.9059999999999999,-1.0
-0.861,1.91,1.0
-0.268,0.802,1.0
0.9470000000000001,-0.155,1.0
0.614,0.922,-1.0
0.376,-1.1,1.0
0.298,1.33,-1.0
-0.695,-0.15,-1.0
-0.435,1.85,1.0
0.672,0.40700000000000003,-1.0
-0.77,0.539,1.0
-0.674,0.0318,1.0
-0.636,0.6759999999999999,1.0
0.5770000000000001,-0.20800000000000002,1.0
0.396,-1.09,1.0
-1.49,0.439,1.0
0.16699999999999998,0.635,-1.0
2.38,0.9440000000000001,-1.0
-0.9129999999999999,1.12,1.0
-1.32,-0.462,-1.0
-0.0682,1.71,1.0
-0.745,-0.826,-1.0
-0.0985,-0.6629999999999999,-1.0
1.13,-1.08,1.0
-1.15,-0.43799999999999994,-1.0
-0.498,1.93,1.0
0.9490000000000001,0.0876,-1.0
-1.23,0.8440000000000001,1.0
-1.0,-1.54,-1.0
1.19,0.317,-1.0
0.9209999999999999,0.319,-1.0
0.857,-0.6509999999999999,1.0
-1.03,0.682,1.0
-0.8029999999999999,-0.69,-1.0
-0.456,0.0175,1.0
-0.354,-1.37,-1.0
-0.644,-2.22,-1.0
0.625,-1.6,1.0
-1.1,0.0522,1.0
-0.74,1.54,1.0
-1.29,0.267,1.0
-0.0393,-1.17,-1.0
0.523,-0.172,1.0
0.772,0.8240000000000001,-1.0
2.16,1.34,-1.0
-0.369,-0.239,-1.0
1.1,0.655,-1.0
0.64,-1.62,1.0
-0.0243,-0.738,-1.0
0.28,-0.0982,1.0
0.91,0.317,-1.0
0.7859999999999999,-0.466,1.0
-0.9440000000000001,-0.41,-1.0
-0.017,0.379,1.0
2.26,-0.0423,1.0
-0.956,-0.34600000000000003,-1.0
-0.46399999999999997,0.48100000000000004,1.0
-1.54,0.0633,1.0
0.157,0.23199999999999998,-1.0
-0.597,-0.23800000000000002,-1.0
-1.42,-0.493,-1.0
-0.5429999999999999,0.41600000000000004,1.0
-1.16,0.7809999999999999,1.0
1.49,-2.07,1.0
0.426,0.677,-1.0
-0.637,-0.397,-1.0
-0.133,-0.298,-1.0
-0.309,-1.68,-1.0
1.15,1.08,-1.0
-0.813,-1.47,-1.0
0.521,-0.5760000000000001,1.0
0.142,-0.319,1.0
0.6920000000000001,0.695,-1.0
-0.726,-1.38,-1.0
-1.58,0.61,1.0
-1.19,-0.507,-1.0
-0.596,-0.0526,-1.0
-1.94,0.18899999999999997,1.0
0.524,0.0884,-1.0
-0.311,0.0974,1.0
0.39899999999999997,-2.77,1.0
1.96,0.39,-1.0
-0.652,-0.391,-1.0
0.494,-0.11599999999999999,1.0
-2.03,2.06,1.0
-0.111,1.02,1.0
-0.6920000000000001,1.54,1.0
0.28600000000000003,0.609,-1.0
-1.05,1.21,1.0
0.69,1.3,-1.0
-0.628,-0.48100000000000004,-1.0
2.3,-1.06,1.0
-0.136,1.14,1.0
0.0977,0.583,-1.0
-0.39899999999999997,0.37,1.0
-1.31,1.66,1.0
-0.11800000000000001,-0.68,-1.0
0.6659999999999999,-0.461,1.0
-1.33,-1.35,-1.0
0.6940000000000001,-0.16,1.0
-0.134,1.08,1.0
-1.13,-0.731,-1.0
-0.385,0.0944,1.0
-0.0422,-0.287,-1.0
-0.0616,-0.107,-1.0
-0.72,-0.813,-1.0
0.275,-0.8909999999999999,1.0
-1.16,-0.312,-1.0
-0.158,2.26,1.0
-0.705,0.943,1.0
0.747,-1.19,1.0
0.773,-1.18,1.0
-2.66,0.606,1.0
-1.76,0.451,1.0
-0.684,1.66,1.0
